especie,aumento,filename,path,Clase,Caracteristicas visibles,Orientacion
Achapo,160X,Fri Aug 30 14-20-21.bmp,Achapo/160X/Fri Aug 30 14-20-21.bmp,1,2,-34.20000076293945
Achapo,160X,Fri Aug 30 14-20-37.bmp,Achapo/160X/Fri Aug 30 14-20-37.bmp,1,2,-34.20000076293945
Achapo,160X,Fri Aug 30 14-23-51.bmp,Achapo/160X/Fri Aug 30 14-23-51.bmp,1,1,-66.5999984741211
Achapo,160X,Fri Aug 30 14-24-29.bmp,Achapo/160X/Fri Aug 30 14-24-29.bmp,1,2,-77.39999961853027
Achapo,160X,Fri Aug 30 14-25-04.bmp,Achapo/160X/Fri Aug 30 14-25-04.bmp,1,3,88.19999694824219
Achapo,160X,Fri Aug 30 14-25-17.bmp,Achapo/160X/Fri Aug 30 14-25-17.bmp,1,3,-88.20000004768372
Achapo,160X,Fri Aug 30 14-25-36.bmp,Achapo/160X/Fri Aug 30 14-25-36.bmp,1,2,-81.0
Achapo,160X,Fri Aug 30 14-25-37.bmp,Achapo/160X/Fri Aug 30 14-25-37.bmp,1,3,-84.60000038146973
Achapo,160X,Fri Aug 30 14-26-13.bmp,Achapo/160X/Fri Aug 30 14-26-13.bmp,1,2,-88.20000004768372
Achapo,160X,Fri Aug 30 14-26-40.bmp,Achapo/160X/Fri Aug 30 14-26-40.bmp,1,3,-81.0
Achapo,160X,Fri Aug 30 14-26-56.bmp,Achapo/160X/Fri Aug 30 14-26-56.bmp,1,3,-88.20000004768372
Achapo,160X,Fri Aug 30 14-27-45.bmp,Achapo/160X/Fri Aug 30 14-27-45.bmp,1,2,-16.199996948242188
Achapo,160X,Fri Aug 30 14-28-06.bmp,Achapo/160X/Fri Aug 30 14-28-06.bmp,1,2,-12.600006103515625
Achapo,160X,Fri Aug 30 14-28-50.bmp,Achapo/160X/Fri Aug 30 14-28-50.bmp,1,2,-9.0
Achapo,160X,Fri Aug 30 14-29-23.bmp,Achapo/160X/Fri Aug 30 14-29-23.bmp,1,3,-9.0
Achapo,160X,Fri Aug 30 14-29-33.bmp,Achapo/160X/Fri Aug 30 14-29-33.bmp,1,3,-9.0
Achapo,160X,Fri Aug 30 14-29-59.bmp,Achapo/160X/Fri Aug 30 14-29-59.bmp,1,2,1.8000030517578125
Achapo,160X,Fri Aug 30 14-30-36.bmp,Achapo/160X/Fri Aug 30 14-30-36.bmp,1,3,-37.79999923706055
